"project_id","job_id","authors","active_authors","entities","commits"
"33392","1037906","101","22","1382","7037"
"35359","877403","1","1","11","34"
"35989","896955","2","1","11","25"
"36945","953964","2","1","11","25"
"34563","846950","1","1","172","49"
"35395","880805","2","1","54","36"
"36785","942187","2","1","11","25"
"36143","901991","18","1","78","220"
"28604","1799637","7","4","193","1198"
"35258","872921","2","1","103","39"
"34429","838147","2","1","103","39"
"43698","1542801","286","30","4092","4127"
"42142","1368667","203","7","22449","20126"
"36859","946934","2","2","6","14"
"34699","855125","1","1","216","3"
"39834","1180038","54","6","664","312"
"39518","1163886","811","174","79252","70632"
"34523","842679","18","1","78","220"
"45758","1740627","62","12","2461","1743"
"41268","1800032","191","16","1275","826"
"38741","1083279","5","5","106","82"
"46115","1765851","1","1","2","1"
"35548","913895","28","7","275","525"
